"group";"ISOweek";"N"
"45to64";"2018-W18";1526520.71428571
"45to64";"2018-W19";1526525.57142857
"45to64";"2018-W20";1526625.14285714
"45to64";"2018-W21";1526663.14285714
"45to64";"2018-W22";1527013.57142857
"45to64";"2018-W23";1527074.57142857
"45to64";"2018-W24";1527133.14285714
"45to64";"2018-W25";1527343.28571429
"45to64";"2018-W26";1527714.71428571
"45to64";"2018-W27";1527703.14285714
"45to64";"2018-W28";1528026.71428571
"45to64";"2018-W29";1528160.57142857
"45to64";"2018-W30";1528287.14285714
"45to64";"2018-W31";1528451.57142857
"45to64";"2018-W32";1528424.28571429
"45to64";"2018-W33";1528570.85714286
"45to64";"2018-W34";1528701
"45to64";"2018-W35";1528832
"45to64";"2018-W36";1528766.28571429
"45to64";"2018-W37";1528972.14285714
"45to64";"2018-W38";1529126.85714286
"45to64";"2018-W39";1529276.28571429
"45to64";"2018-W40";1529395.57142857
"45to64";"2018-W41";1529328.42857143
"45to64";"2018-W42";1529449
"45to64";"2018-W43";1529535.57142857
"45to64";"2018-W44";1529731.14285714
"45to64";"2018-W45";1529767.57142857
"45to64";"2018-W46";1530006.85714286
"45to64";"2018-W47";1530112.71428571
"45to64";"2018-W48";1530313.71428571
"45to64";"2018-W49";1530230.71428571
"45to64";"2018-W50";1530265.85714286
"45to64";"2018-W51";1530286.14285714
"45to64";"2018-W52";1530176.42857143
"45to64";"2019-W01";1529947
"45to64";"2019-W02";1530147.14285714
"45to64";"2019-W03";1530291.14285714
"45to64";"2019-W04";1530435.57142857
"45to64";"2019-W05";1530650.71428571
"45to64";"2019-W06";1530510.14285714
"45to64";"2019-W07";1530521.28571429
"45to64";"2019-W08";1530563.57142857
"45to64";"2019-W09";1530740
"45to64";"2019-W10";1530767.28571429
"45to64";"2019-W11";1530998.14285714
"45to64";"2019-W12";1531240.71428571
"45to64";"2019-W13";1531388.71428571
"45to64";"2019-W14";1531532.85714286
"45to64";"2019-W15";1531668
"45to64";"2019-W16";1531772.71428571
"45to64";"2019-W17";1531961.71428571
"45to64";"2019-W18";1532218.57142857
"45to64";"2019-W19";1532356.71428571
"45to64";"2019-W20";1532511.71428571
"45to64";"2019-W21";1532672
"45to64";"2019-W22";1532867.14285714
"45to64";"2019-W23";1532811.42857143
"45to64";"2019-W24";1532935.28571429
"45to64";"2019-W25";1533013.57142857
